Date,Tornadoes,Fatalities
1950,201,70
1951,260,34
1952,240,231
1953,422,519
1954,550,36
1955,591,129
1956,504,83
1957,857,193
1958,564,67
1959,602,58
1960,616,46
1961,698,52
1962,656,30
1963,462,31
1964,706,73
1965,900,301
1966,585,98
1967,927,114
1968,661,131
1969,607,66
1970,654,73
1971,888,159
1972,740,34
1973,1104,89
1974,951,366
1975,918,60
1976,837,44
1977,854,43
1978,789,53
1979,859,84
1980,866,28
1981,782,24
1982,1049,64
1983,930,34
1984,912,122
1985,687,94
1986,765,15
1987,658,59
1988,700,32
1989,859,50
1990,1140,53
1991,1133,39
1992,1302,39
1993,1174,109
1994,1085,48
1995,1236,34
1996,1172,26
1997,1149,68
1998,1428,130
1999,1342,94
2000,1073,41
2001,1212,37
2002,934,55
2003,1385,54
2004,1813,35
2005,1262,38
2006,1106,67
2007,1100,81
2008,1692,126
2009,1146,21
2010,1282,45
2011,1691,553
2012,938,70
2013,906,55
2014,886,47
2015,1177,36
2016,976,18
2017,1429,35
2018,1126,10
2019,1517,42
2020,1082,76
2021,1314,103
2022,1143,23
